pilot_region,source_family,publisher,official_portal_url,automated_access_status,variables_expected,collection_status,handling_note
Beijing,statistics,Beijing Municipal Bureau of Statistics,https://tjj.beijing.gov.cn/,verified_200,"population,regional statistical yearbooks,statistical communiques",portal_verified,"Use official yearbook and bulletin files only; register each downloaded file"
Beijing,education,Beijing Municipal Education Commission,https://jw.beijing.gov.cn/,verified_200,"preschool enrolment,teachers,kindergartens,education statistics",portal_verified,"Locate annual education-statistics releases before extraction"
Shanghai,statistics,Shanghai Municipal Statistics Bureau,https://tjj.sh.gov.cn/,verified_200,"population,regional statistical yearbooks,statistical communiques",portal_verified,"Use official yearbook and bulletin files only; register each downloaded file"
Shanghai,education,Shanghai Municipal Education Commission,https://edu.sh.gov.cn/,verified_200,"preschool enrolment,teachers,kindergartens,education statistics",portal_verified,"Locate annual education-statistics releases before extraction"
Guangdong,statistics,Statistics Bureau of Guangdong Province,https://stats.gd.gov.cn/,verified_200,"population,regional statistical yearbooks,statistical communiques",portal_verified,"Use official yearbook and bulletin files only; register each downloaded file"
Guangdong,education,Department of Education of Guangdong Province,https://edu.gd.gov.cn/,verified_200,"preschool enrolment,teachers,kindergartens,education statistics",portal_verified,"Locate annual education-statistics releases before extraction"
Sichuan,statistics,Sichuan Provincial Bureau of Statistics,https://tjj.sc.gov.cn/,verified_200,"population,regional statistical yearbooks,statistical communiques",portal_verified,"Use official yearbook and bulletin files only; register each downloaded file"
Sichuan,education,Department of Education of Sichuan Province,https://edu.sc.gov.cn/,verified_200,"preschool enrolment,teachers,kindergartens,education statistics",portal_verified,"Locate annual education-statistics releases before extraction"
Gansu,statistics,Gansu Provincial Bureau of Statistics,https://tjj.gansu.gov.cn/,automated_access_412,"population,regional statistical yearbooks,statistical communiques",manual_browser_required,"Do not bypass access control; obtain official files manually and register provenance"
Gansu,education,Department of Education of Gansu Province,https://jyt.gansu.gov.cn/,automated_access_412,"preschool enrolment,teachers,kindergartens,education statistics",manual_browser_required,"Do not bypass access control; obtain official files manually and register provenance"
