review_id,staging_dataset,recommended_reviewer,reviewer_id,review_date,raw_source_location,required_decision,status
BJ_KG_2015_2024,datasets/staging/beijing_kindergarten_statistics_2015_2024.csv,Independent reviewer,,,datasets/raw/provincial_china_2015_2025/beijing/2025_statistical_yearbook/,approved_for_processed_or_hold,pending_assignment
BJ_CONTEXT_2015_2023,datasets/staging/beijing_context_population_education_finance_2015_2023.csv,Independent reviewer,,,datasets/raw/provincial_china_2015_2025/beijing/2025_statistical_yearbook/,approved_context_only_or_hold,pending_assignment
SH_KG_2020_2024,datasets/staging/shanghai_kindergarten_statistics_2020_2024.csv,Independent reviewer,,,datasets/raw/provincial_china_2015_2025/shanghai/2025_statistical_yearbook/,approved_for_processed_or_hold,pending_assignment
GD_KG_2015_2024,datasets/staging/guangdong_kindergarten_statistics_2015_2024.csv,Independent reviewer,,,datasets/raw/provincial_china_2015_2025/guangdong/2025_statistical_yearbook/,approved_for_processed_or_hold,pending_assignment
SC_KG_2015_2024,datasets/staging/sichuan_kindergarten_statistics_2015_2024.csv,Independent reviewer,,,datasets/raw/provincial_china_2015_2025/sichuan/2025_statistical_yearbook/,approved_for_processed_or_hold,pending_assignment
GD_POP_CONTEXT_2015_2024,datasets/staging/guangdong_population_age_structure_2015_2024.csv,Independent reviewer,,,datasets/raw/provincial_china_2015_2025/guangdong/2025_statistical_yearbook/,approved_context_only_or_hold,pending_assignment
GD_FISCAL_CONTEXT_2015_2024,datasets/staging/guangdong_fiscal_context_selected_years_2015_2024.csv,Independent reviewer,,,datasets/raw/provincial_china_2015_2025/guangdong/2025_statistical_yearbook/,approved_context_only_or_hold,pending_assignment
SC_POP_CONTEXT_2015_2024,datasets/staging/sichuan_population_main_indicators_2015_2024.csv,Independent reviewer,,,datasets/raw/provincial_china_2015_2025/sichuan/2025_statistical_yearbook/,approved_context_only_or_hold,pending_assignment
SH_POP_CONTEXT_2015_2024,datasets/staging/shanghai_population_context_2015_2024.csv,Independent reviewer,,,datasets/raw/provincial_china_2015_2025/shanghai/2025_statistical_yearbook/,approved_context_only_or_hold,pending_assignment
SH_FISCAL_CONTEXT_2015_2024,datasets/staging/shanghai_fiscal_context_2015_2024.csv,Independent reviewer,,,datasets/raw/provincial_china_2015_2025/shanghai/2025_statistical_yearbook/,approved_context_only_or_hold,pending_assignment
NATIONAL_2026_FUND_ALLOCATIONS,datasets/staging/national_2026_preschool_development_fund_pilot_allocations.csv,Independent reviewer,,,datasets/raw/national_china/2026_preschool_development_fund/,approved_scenario_parameter_or_hold,pending_assignment
