review_id,region,staging_dataset,source_ids,review_scope,current_status,reviewer_id,review_date,review_method,decision,issue_notes
GD_PROGRAMME_PERFORMANCE_2022_2025,Guangdong,datasets/staging/guangdong_preschool_development_fund_programme_2022_2025.csv,GD_EDU_2022_PRESCHOOL_FUND_ALLOCATION;GD_EDU_2022_PRESCHOOL_FUND_EXPENDITURE;GD_EDU_2022_PRESCHOOL_FUND_EXECUTION_RATE;GD_EDU_2024_PRESCHOOL_FUND_ALLOCATION;GD_EDU_2024_PRESCHOOL_FUND_EXPENDITURE;GD_EDU_2024_PRESCHOOL_FUND_EXECUTION_RATE;GD_EDU_2025_PRESCHOOL_FUND_ALLOCATION;GD_EDU_2025_PRESCHOOL_FUND_EXPENDITURE;GD_EDU_2025_PRESCHOOL_FUND_EXECUTION_RATE,"programme funding; programme expenditure; execution rate; execution-rate origin; geographic coverage",review_completed,Barnabe-Zihan-Ding,2026-07-29,raw-source-manifest and value comparison,approved_scenario_parameter,"Independent review: https://github.com/AvelineChuk/OpenPreEduLab/issues/7. All three rows and 39 staging fields match the independently reviewed 2022, 2024, and 2025 source manifests and retained PDF hashes. The 2023 row is intentionally absent; no interpolation or carry-forward was introduced. The 2024 execution rate retains its calculated origin, and 2022 geographic coverage remains not reported. Approval is limited to conditional policy-simulation use for the named central transfer-payment programme; it is not approved_for_processed and does not represent total Guangdong preschool expenditure."
BJ_KG_2015_2024,Beijing,datasets/staging/beijing_kindergarten_statistics_2015_2024.csv,BEIJING_2025_C2002,"kindergartens; class_count; graduates; new_enrolment; enrolled_children; teaching_staff; full_time_teacher_count",review_completed,Barnabe-Zihan-Ding,2026-07-30,independent raw-table visual comparison,hold_for_definition_review,"Independent review: https://github.com/AvelineChuk/OpenPreEduLab/issues/19. All 10 annual rows and 70 numeric values for 2015-2024 match Beijing Statistical Yearbook Table 20-2 and its retained SHA-256. The visible 2020 new-enrolment increase and 2023-2024 declines are source-faithful, with no interpolation or manufactured year. Kindergarten, class, graduate, new-enrolment, enrolled-child, teaching-staff, and reported full-time-teacher counts are transcribed correctly. However, the source field 专任教师 has no documented full-time-equivalent conversion and must not be treated as the model variable fte_teacher_count without a definition-compatible mapping. Keep datasets/processed unchanged pending that definition review."
BJ_CONTEXT_2015_2023,Beijing,datasets/staging/beijing_context_population_education_finance_2015_2023.csv,BEIJING_2025_C0303;BEIJING_2025_C2016,"resident_population_age_0_14_10k_persons; education-finance context variables",review_completed,Barnabe-Zihan-Ding,2026-07-30,independent raw-image value and definition comparison,approved_context_only,"Independent review: https://github.com/AvelineChuk/OpenPreEduLab/issues/23. All nine rows and 36 numeric values match Beijing Yearbook Tables 3-3 and 20-16; both retained hashes, years, and units were verified. The 2020 census and annual-survey method boundary remains flagged. Population aged 0-14 is not a preschool-age denominator, and the three expenditure fields cover education generally rather than preschool-specific expenditure. Context use only; keep datasets/processed unchanged."
SH_KG_2020_2024,Shanghai,datasets/staging/shanghai_kindergarten_statistics_2020_2024.csv,SHANGHAI_2025_C2017,"kindergartens; children_reported_count; teaching_staff_count; full_time_teacher_count",review_completed,Barnabe-Zihan-Ding,2026-07-30,independent retained-HTML value unit definition and hash comparison,return_for_correction,"Independent review: https://github.com/AvelineChuk/OpenPreEduLab/issues/24. All three reported rows and 12 numeric values match the currently retained Table 20.17 HTML after the documented multiplication by 10,000, with no missing-year fill. However, the retained file SHA-256 is ce0bbf527b71188b4289616047f47528e6bd3be4b488db1c0ec09b48b6ba597f while the manifest records 4ac93b23b584dfb10963c6abb928596959270232d67b4b6761658ebc34afa3cf, so provenance fails. The 幼儿数 to enrolled_children mapping and 专任教师 to FTE mapping also remain unresolved. Correct or restore the raw hash provenance before renewed review; keep datasets/processed unchanged."
GD_KG_2015_2024,Guangdong,datasets/staging/guangdong_kindergarten_statistics_2015_2024.csv,GUANGDONG_2025_YEARBOOK,"kindergartens; enrolled_children; teaching_staff; full_time_teacher_count",review_completed,Barnabe-Zihan-Ding,2026-07-30,independent archived-HTML table and unit-conversion comparison,hold_for_definition_review,"Independent review: https://github.com/AvelineChuk/OpenPreEduLab/issues/21. All four reported in-scope rows and 16 numeric values match Guangdong Statistical Yearbook Table 19-3 Continued in the retained official archive. Kindergarten counts remain units; the children, teaching-staff, and full-time-teacher values correctly convert from ten-thousand persons by multiplying by 10,000. Only reported years 2015, 2022, 2023, and 2024 are present, and the source-visible 2023-2024 declines were retained without interpolation. 在园幼儿数 is compatible with staged enrolled_children, but 专任教师 has no documented full-time-equivalent conversion and must not be mapped to model variable fte_teacher_count without definition review. The archive Excel had prior internal cross-validation; this independent pass compared the official archived HTML cell by cell because the available runtime could not open legacy XLS. Keep datasets/processed unchanged."
SC_KG_2015_2024,Sichuan,datasets/staging/sichuan_kindergarten_statistics_2015_2024.csv,SICHUAN_2025_C2001;SICHUAN_2025_C2002;SICHUAN_2025_C2003,"kindergartens; enrolled_children; full_time_teacher_count",review_completed,Barnabe-Zihan-Ding,2026-07-30,independent three-table raw-image comparison,hold_for_definition_review,"Independent review: https://github.com/AvelineChuk/OpenPreEduLab/issues/25. All 10 rows and 30 numeric values match Sichuan Yearbook Tables 20-1, 20-2, and 20-3; all three retained hashes were verified. The 2023-2024 enrolment decline and 2024 kindergarten decline are source-faithful, and no teaching-staff total was inferred. Reported 专任教师 has no documented full-time-equivalent conversion and must not be treated as model variable fte_teacher_count without definition review. Keep datasets/processed unchanged."
GD_POP_CONTEXT_2015_2024,Guangdong,datasets/staging/guangdong_population_age_structure_2015_2024.csv,GUANGDONG_2025_YEARBOOK,"resident_population_age_0_14_10k_persons; age_0_14_share_pct",review_completed,Barnabe-Zihan-Ding,2026-07-30,independent archived-HTML exact-value and definition comparison,approved_context_only,"Independent review: https://github.com/AvelineChuk/OpenPreEduLab/issues/26. All 10 rows and 20 values match Guangdong Yearbook Table 3-4 in the verified official archive, including the underlying 2024 share of 17.5352112676056 staged at six decimals. The 2020 increase is source-faithful and the table identifies census-year estimates. The 0-14 age band is not a preschool-age denominator. Context use only; keep datasets/processed unchanged."
GD_FISCAL_CONTEXT_2015_2024,Guangdong,datasets/staging/guangdong_fiscal_context_selected_years_2015_2024.csv,GUANGDONG_2025_YEARBOOK,"local_general_public_budget_revenue_100m_yuan; local_general_public_budget_expenditure_100m_yuan",review_completed,Barnabe-Zihan-Ding,2026-07-30,independent archived-HTML exact-value and scope comparison,approved_context_only,"Independent review: https://github.com/AvelineChuk/OpenPreEduLab/issues/27. All six rows and 12 exact underlying values match the Provincial Total rows in Guangdong Yearbook Table 8-3 revenue and continued expenditure tables within the verified official archive. Only reported years 2015 and 2020-2024 were staged. These are general public-budget aggregates, not preschool-specific expenditure. Context use only; keep datasets/processed unchanged."
SC_POP_CONTEXT_2015_2024,Sichuan,datasets/staging/sichuan_population_main_indicators_2015_2024.csv,SICHUAN_2025_C0301,"resident_population_year_end_10k_persons; urbanization_rate_pct; birth_rate_per_thousand; death_rate_per_thousand; natural_growth_rate_per_thousand",review_completed,Barnabe-Zihan-Ding,2026-07-30,independent raw-image value method-note and definition comparison,approved_context_only,"Independent review: https://github.com/AvelineChuk/OpenPreEduLab/issues/28. All 10 rows and 50 numeric values match Sichuan Yearbook Table 3-1 and the retained hash was verified. Negative natural growth from 2021 onward is source-faithful, and the census and annual-survey method boundary remains flagged. The table reports total resident population and rates, not a preschool-age denominator. Context use only; keep datasets/processed unchanged."
SH_POP_CONTEXT_2015_2024,Shanghai,datasets/staging/shanghai_population_context_2015_2024.csv,SHANGHAI_2025_C0201_HEADER;SHANGHAI_2025_C0201_MAIN,"resident_population_10k_persons; registered_population_10k_persons; household context variables",review_completed,Barnabe-Zihan-Ding,2026-07-30,independent retained-HTML header mapping value definition and hash comparison,return_for_correction,"Independent review: https://github.com/AvelineChuk/OpenPreEduLab/issues/29. All 10 rows and 70 numeric values match the currently retained Table 2.1 header-to-main mapping, but neither retained evidence hash matches the manifest. Header actual is 7e772928627c4301c0cd41d9adf26af6a59d93e41077a07d8f88254645073230 versus recorded 7167d306421840a943253a4dc698034546fd739f033cedddc4fbab646bbd1dfd; main actual is 18224fdaea7c2b8cb0be296d0a7d119ec7049f61bddcf256532248e796fcb62b versus recorded eaf746de0d58becc0ded4d229f5ce89fa535d9f9a4d5fb5f2107cc6c5168da07. Restore or correctly register immutable raw provenance before renewed review. The fields remain population context only, not preschool-age data; keep datasets/processed unchanged."
