序号,地区,一般公共预算教育经费（亿元）,一般公共预算教育经费占一般公共预算支出比例（%）,一般公共预算教育经费本年比上年增长（%）,财政经常性收入本年比上年增长（%）,一般公共预算教育经费与财政经常性收入增长幅度比较（百分点）,更新年度
202408,房山区,55.29,22.7,2.52,-16.23,18.75,2023
202410,顺义区,52.51,16.98,0.85,11.77,-10.92,2023
202412,大兴区,65.05,22.68,20.6,28.51,-7.91,2023
202415,密云区,25.42,16.5,2.04,2.0,0.04,2023
202513,怀柔区,24.82,0.08,19.11,17.78,-17.7,2025
202514,平谷区,24.51,2.71,19.24,10.43,-7.72,2025
202502,西城区,83.11,2.37,19.77,2.29,0.08,2025
202508,房山区,55.81,0.09,21.45,36.5,-36.41,2025
202509,通州区,52.27,4.76,13.23,4.21,0.55,2025
202413,怀柔区,24.54,16.66,0.62,0.65,-0.03,2023
202515,密云区,26.36,2.67,16.54,2.5,0.17,2025
202409,通州区,49.74,15.06,5.44,7.21,-1.77,2023
202506,海淀区,153.77,6.18,21.17,5.02,1.16,2025
202403,朝阳区,106.54,19.12,8.73,6.0,2.73,2023
202505,石景山区,24.76,5.61,15.06,7.48,-1.87,2025
202503,朝阳区,108.8,0.05,19.86,0.01,0.04,2025
202516,延庆区,20.23,-5.58,15.82,0.78,-6.36,2025
202401,东城区,70.4,24.9,0.29,0.2,0.09,2023
202510,顺义区,55.84,0.07,18.86,0.03,0.04,2025
202402,西城区,73.32,17.69,1.03,0.94,0.09,2023
202414,平谷区,23.49,18.5,6.34,3.34,3.0,2023
202405,石景山区,22.11,17.62,8.22,12.6,-4.38,2023
202407,门头沟区,18.87,18.74,0.83,64.01,-63.18,2023
202501,东城区,54.13,0.18,18.52,0.09,0.09,2025
202504,丰台区,56.85,12.55,19.66,2.92,9.63,2025
202404,丰台区,47.35,18.02,13.92,6.53,7.39,2023
202511,昌平区,55.35,1.52,20.19,17.24,-15.72,2025
202507,门头沟区,17.63,-14.08,14.58,8.68,-22.76,2025
202406,海淀区,135.51,21.27,4.14,3.89,0.25,2023
202411,昌平区,54.0,22.04,1.56,0.12,1.44,2023
202416,延庆区,20.88,16.57,0.74,0.54,0.2,2023
202512,大兴区,74.57,10.22,25.22,2.52,7.7,2025
