序号,地区,幼儿园上年,幼儿园本年,幼儿园增长率（%）,普通小学上年,普通小学本年,普通小学增长率（%）,更新年度
202502,西城区,24605.57,18601.94,-24.4,8498.33,8785.88,3.38,2025
202508,房山区,7904.27,6076.89,-23.12,10029.11,10546.43,5.16,2025
202509,通州区,17011.48,20644.72,21.36,7933.39,9999.07,26.04,2025
202513,怀柔区,15317.58,14394.48,-6.03,12049.35,13814.24,14.65,2025
202514,平谷区,10037.95,11462.11,14.19,9886.95,8336.99,-15.68,2025
201413,怀柔区,10357.31,17689.93,70.8,8638.56,12846.18,48.71,2023
202515,密云区,8186.82,8673.71,5.95,14746.91,14851.12,0.71,2025
201416,延庆区,19355.02,10932.4,-43.52,11995.35,10251.16,-14.54,2023
202503,朝阳区,7511.26,7067.67,-5.91,5678.78,5015.67,-11.68,2025
202516,延庆区,15796.47,11296.23,-28.49,11079.0,11024.15,-0.5,2025
201404,丰台区,6807.19,7284.36,7.01,5463.29,6825.44,24.93,2023
201406,海淀区,10874.42,17657.45,62.38,11517.2,11523.05,0.05,2023
201409,通州区,18544.41,23030.38,24.19,12494.93,10211.61,-18.27,2023
201410,顺义区,8767.6,13541.6,54.45,7900.0,10859.96,37.47,2023
202511,昌平区,5563.39,7606.8,36.73,9053.11,9818.3,8.45,2025
201402,西城区,13887.94,19692.73,41.8,7111.36,7692.43,8.17,2023
201405,石景山区,7317.77,8209.46,12.19,6510.51,7299.4,12.12,2023
201412,大兴区,16610.81,16632.32,0.13,7704.78,12646.52,64.14,2023
202505,石景山区,7657.17,8400.53,9.71,7536.59,8482.83,12.56,2025
201414,平谷区,9697.45,10820.12,11.58,7743.66,8531.83,10.18,2023
202506,海淀区,17741.66,17755.27,0.08,13047.6,13094.24,0.36,2025
201401,东城区,14453.07,15934.4,10.25,5764.44,8165.34,41.65,2023
202501,东城区,12823.49,10095.92,-21.27,7775.47,7873.4,1.26,2025
202504,丰台区,6501.42,16195.57,149.11,6646.14,9550.97,43.71,2025
201415,密云区,7022.07,12388.62,76.42,11686.63,14811.75,26.74,2023
202512,大兴区,21944.06,22442.02,2.27,12081.97,13194.15,9.21,2025
201408,房山区,5462.39,6865.47,25.69,4847.15,5681.37,17.21,2023
202507,门头沟区,14746.41,17189.94,16.57,12926.74,13273.75,2.68,2025
201403,朝阳区,20342.66,16670.46,-18.05,5543.79,5446.5,-1.75,2023
201407,门头沟区,12145.72,21171.67,74.31,11651.68,14417.17,23.73,2023
201411,昌平区,10444.26,7256.69,-30.52,10077.5,10151.31,0.73,2023
202510,顺义区,15316.5,14308.15,-6.58,12428.33,10644.43,-14.35,2025
