序号,地区,幼儿园上年,幼儿园本年,幼儿园增长率（%）,普通小学上年,普通小学本年,普通小学增长率（%）,更新年度
201413,怀柔区,10357.31,17689.93,70.8,8638.56,12846.18,48.71,2023
201416,延庆区,19355.02,10932.4,-43.52,11995.35,10251.16,-14.54,2023
201403,朝阳区,20342.66,16670.46,-18.05,5543.79,5446.5,-1.75,2023
201414,平谷区,9697.45,10820.12,11.58,7743.66,8531.83,10.18,2023
201404,丰台区,6807.19,7284.36,7.01,5463.29,6825.44,24.93,2023
201406,海淀区,10874.42,17657.45,62.38,11517.2,11523.05,0.05,2023
201409,通州区,18544.41,23030.38,24.19,12494.93,10211.61,-18.27,2023
201410,顺义区,8767.6,13541.6,54.45,7900.0,10859.96,37.47,2023
201402,西城区,13887.94,19692.73,41.8,7111.36,7692.43,8.17,2023
201405,石景山区,7317.77,8209.46,12.19,6510.51,7299.4,12.12,2023
201412,大兴区,16610.81,16632.32,0.13,7704.78,12646.52,64.14,2023
201401,东城区,14453.07,15934.4,10.25,5764.44,8165.34,41.65,2023
201408,房山区,5462.39,6865.47,25.69,4847.15,5681.37,17.21,2023
201415,密云区,7022.07,12388.62,76.42,11686.63,14811.75,26.74,2023
201407,门头沟区,12145.72,21171.67,74.31,11651.68,14417.17,23.73,2023
201411,昌平区,10444.26,7256.69,-30.52,10077.5,10151.31,0.73,2023
