city,province,year,government_expenditure_per_child_yuan,stable_public_funding_share_pct,qualified_teacher_rate_pct,fte_teacher_count,enrolled_children,licensed_preschool_places,usable_indoor_area_sqm,class_count,resident_preschool_age_population,resident_target_age_children_enrolled,eligible_children_seeking_place,eligible_children_seeking_but_not_enrolled
Beijing,Beijing,2021,24000,84,90,17100,230000,244000,2173500,9400,234000,226000,232000,6000
Beijing,Beijing,2022,24600,85,90.5,16900,226000,240000,2147000,9250,230000,222000,228000,6000
Beijing,Beijing,2023,25200,85,91,16500,220000,234000,2090000,9000,224000,216000,222000,6000
Beijing,Beijing,2024,25800,86,91,16300,215000,229000,2051000,8850,219000,211000,217000,6000
Beijing,Beijing,2025,26400,86,91.5,16000,210000,224000,2016000,8700,214000,206000,212000,6000
Shanghai,Shanghai,2021,23500,83,89,16800,225000,239000,2070000,9300,229000,221000,227000,6000
Shanghai,Shanghai,2022,24100,84,89.5,16500,220000,234000,2035000,9150,224000,216000,222000,6000
Shanghai,Shanghai,2023,24700,84,90,16100,214000,228000,1980000,9000,218000,210000,216000,6000
Shanghai,Shanghai,2024,25300,85,90.5,15800,209000,223000,1945000,8850,213000,205000,211000,6000
Shanghai,Shanghai,2025,25900,85,91,15500,204000,218000,1900000,8700,208000,200000,206000,6000
Guangzhou,Guangdong,2021,19500,78,84,20000,310000,327000,2730000,11900,315000,303000,312000,9000
Guangzhou,Guangdong,2022,20100,79,85,20700,320000,338000,2850000,12200,325000,313000,322000,9000
Guangzhou,Guangdong,2023,20700,79,85.5,21400,330000,349000,2970000,12500,335000,323000,332000,9000
Guangzhou,Guangdong,2024,21300,80,86,22100,340000,360000,3095000,12800,345000,333000,342000,9000
Guangzhou,Guangdong,2025,21900,80,86.5,22900,350000,371000,3220000,13100,355000,343000,352000,9000
Shenzhen,Guangdong,2021,21000,80,87,15000,220000,234000,2046000,8500,230000,216000,228000,8000
Shenzhen,Guangdong,2022,21600,81,87.5,16300,235000,250000,2209000,9000,245000,231000,243000,8000
Shenzhen,Guangdong,2023,22200,81,88,17700,250000,266000,2380000,9500,260000,246000,258000,8000
Shenzhen,Guangdong,2024,22800,82,88.5,19100,260000,277000,2470000,9850,271000,256000,269000,8000
Shenzhen,Guangdong,2025,23400,82,89,20500,270000,288000,2565000,10200,282000,266000,280000,8000
Hangzhou,Zhejiang,2021,19000,77,85,12600,180000,191000,1656000,7000,185000,176000,183000,7000
Hangzhou,Zhejiang,2022,19600,78,85.5,13300,188000,200000,1748000,7250,193000,184000,191000,7000
Hangzhou,Zhejiang,2023,20200,78,86,14000,196000,209000,1842000,7500,201000,192000,199000,7000
Hangzhou,Zhejiang,2024,20800,79,86.5,14700,203000,217000,1917000,7750,208000,199000,206000,7000
Hangzhou,Zhejiang,2025,21400,79,87,15300,210000,225000,1995000,8000,215000,206000,213000,7000
Nanjing,Jiangsu,2021,18500,76,83,10500,150000,159000,1350000,6000,154000,147000,152000,5000
Nanjing,Jiangsu,2022,19000,77,83.5,10400,149000,158000,1345000,5980,153000,146000,151000,5000
Nanjing,Jiangsu,2023,19500,77,84,10300,148000,157000,1340000,5960,152000,145000,150000,5000
Nanjing,Jiangsu,2024,20000,78,84.5,10200,146000,155000,1320000,5900,150000,143000,148000,5000
Nanjing,Jiangsu,2025,20500,78,85,10100,145000,154000,1310000,5850,149000,142000,147000,5000
Wuhan,Hubei,2021,14500,72,77,14500,230000,239000,1932000,9000,238000,222000,235000,13000
Wuhan,Hubei,2022,14900,72,77.5,14200,225000,234000,1890000,8900,233000,217000,230000,13000
Wuhan,Hubei,2023,15300,73,78,13900,221000,230000,1850000,8800,229000,213000,226000,13000
Wuhan,Hubei,2024,15700,73,78.5,13600,218000,227000,1820000,8700,226000,210000,223000,13000
Wuhan,Hubei,2025,16100,74,79,13300,215000,224000,1790000,8600,223000,207000,220000,13000
Chengdu,Sichuan,2021,14200,70,75,17300,270000,283000,2187000,10500,280000,260000,276000,16000
Chengdu,Sichuan,2022,14600,71,75.5,18000,278000,292000,2265000,10800,288000,268000,284000,16000
Chengdu,Sichuan,2023,15000,71,76,18700,285000,300000,2345000,11100,295000,275000,291000,16000
Chengdu,Sichuan,2024,15400,72,76.5,19400,293000,309000,2435000,11400,303000,283000,299000,16000
Chengdu,Sichuan,2025,15800,72,77,20100,300000,318000,2520000,11700,310000,290000,306000,16000
Zhengzhou,Henan,2021,12500,66,70,13700,240000,248000,1800000,9200,255000,226000,250000,24000
Zhengzhou,Henan,2022,12900,67,70.5,13500,237000,245000,1770000,9100,252000,223000,247000,24000
Zhengzhou,Henan,2023,13300,67,71,13300,233000,241000,1740000,9000,248000,219000,243000,24000
Zhengzhou,Henan,2024,13700,68,71.5,13100,229000,237000,1710000,8900,244000,215000,239000,24000
Zhengzhou,Henan,2025,14100,68,72,12900,225000,233000,1680000,8800,240000,211000,235000,24000
Lanzhou,Gansu,2021,11200,63,68,5300,100000,103000,700000,3800,108000,93000,105000,12000
Lanzhou,Gansu,2022,11600,64,68.5,5100,98000,101000,681000,3750,106000,91000,103000,12000
Lanzhou,Gansu,2023,12000,64,69,4900,96000,99000,662000,3700,104000,89000,101000,12000
Lanzhou,Gansu,2024,12400,65,69.5,4700,93000,96000,642000,3600,101000,86000,98000,12000
Lanzhou,Gansu,2025,12800,65,70,4500,90000,93000,621000,3500,98000,83000,95000,12000
