source_id,provider,source_name,geographic_level,time_coverage,format,access_url,variables_relevant_to_openpreedulab,planned_use,status,notes
MOE_EDU_STAT_2025,Ministry of Education of the People's Republic of China,2025 National Education Development Statistical Bulletin,national,2025,HTML,https://www.moe.gov.cn/jyb_sjzl/sjzl_fztjgb/202607/t20260706_1442870.html,"kindergartens,enrolment,teachers,education development indicators",source definition and national trend validation,verified_public_source,"National aggregate only; not a city-level PRAI observation"
MOE_EDU_STAT_2024,Ministry of Education of the People's Republic of China,2024 National Education Development Statistical Bulletin,national,2024,HTML,https://www.moe.gov.cn/jyb_sjzl/sjzl_fztjgb/202506/t20250611_1193760.html,"kindergartens,enrolment,teachers,education development indicators",source definition and national trend validation,verified_public_source,"National aggregate only; not a city-level PRAI observation"
MOE_EDU_STAT_2023,Ministry of Education of the People's Republic of China,2023 National Education Development Statistical Bulletin,national,2023,HTML,https://www.moe.gov.cn/jyb_sjzl/sjzl_fztjgb/202410/t20241024_1159002.html,"kindergartens,enrolment,teachers,education development indicators",source definition and national trend validation,verified_public_source,"National aggregate only; not a city-level PRAI observation"
MOE_EDU_STAT_2022,Ministry of Education of the People's Republic of China,2022 National Education Development Statistical Bulletin,national,2022,HTML,https://www.moe.gov.cn/jyb_sjzl/sjzl_fztjgb/202307/t20230705_1067278.html,"kindergartens,enrolment,teachers,education development indicators",source definition and national trend validation,verified_public_source,"National aggregate only; not a city-level PRAI observation"
MOE_EDU_STAT_2021,Ministry of Education of the People's Republic of China,2021 National Education Development Statistical Bulletin,national,2021,HTML,https://www.moe.gov.cn/jyb_sjzl/sjzl_fztjgb/202209/t20220914_660850.html,"kindergartens,enrolment,teachers,education development indicators",source definition and national trend validation,verified_public_source,"National aggregate only; not a city-level PRAI observation"
MOE_EDU_STAT_2020,Ministry of Education of the People's Republic of China,2020 National Education Development Statistical Bulletin,national,2020,HTML,https://www.moe.gov.cn/jyb_sjzl/sjzl_fztjgb/202108/t20210827_555004.html,"kindergartens,enrolment,teachers,education development indicators",source definition and national trend validation,verified_public_source,"National aggregate only; not a city-level PRAI observation"
NBS_YEARBOOK,National Bureau of Statistics of China,China Statistical Yearbook,national and provincial,annual,HTML/XLS/PDF,https://www.stats.gov.cn/sj/ndsj/,"population,regional demographic indicators,education tables",candidate source for denominator and regional context,verified_public_portal,"Table availability and reuse conditions must be checked year by year"
MOE_STATISTICS_PORTAL,Ministry of Education of the People's Republic of China,Education Statistics Portal,national,annual,HTML,https://www.moe.gov.cn/jyb_sjzl/sjzl_fztjgb/,"education statistical bulletins and definitions",official source discovery and methodological cross-check,verified_public_portal,"Does not by itself supply a harmonised city-year panel"
BEIJING_OPEN_DATA_PER_STUDENT_OPERATING_EXPENDITURE,Beijing Municipal Education Commission,Per-student General Public Budget Operating Expenditure by Education Level,Beijing district,"2023;2025",XLSX/CSV/RDF,https://data.beijing.gov.cn/zyml/ajg/sjw/5bda13ad50564c7f9f7985f133bb487e.htm,"district; kindergarten; per-student general public-budget operating expenditure",future district-level financial-resource research after definition review,raw_file_archived_not_provincial_input,"Metadata and API documentation were verified on 2026-07-28; the manually downloaded CSV contains 32 records for 16 districts in 2023 and 2025. Download requires login and a personal unique identifier. The measure is not automatically equivalent to preschool-specific public expenditure and must not be aggregated into a Beijing municipal observation."
BEIJING_OPEN_DATA_PER_STUDENT_EDUCATIONAL_PROGRAM_EXPENDITURE,Beijing Municipal Education Commission,Per-student General Public Budget Educational Program Expenditure by Education Level,Beijing district,2023,CSV,https://data.beijing.gov.cn/zyml/ajg/sjw/2032e1e7c48f470dbd38cfc380034909.htm,"district; kindergarten; prior-year expenditure; current-year expenditure; growth rate",future district-level financial-resource research after definition review,raw_file_archived_not_provincial_input,"The manually downloaded CSV contains 16 Beijing district records for update year 2023. It is a per-student expenditure measure, not automatically equivalent to preschool-specific public expenditure, and must not be aggregated into a Beijing municipal observation."
BEIJING_OPEN_DATA_GENERAL_EDUCATION_BUDGET,Beijing Municipal Education Commission,General Public Budget Education Expenditure Growth,Beijing district,"2023;2025",CSV,https://data.beijing.gov.cn/zyml/ajg/sjw/959b67302e47459eb16dbbd176f278a8.htm,"district; general public-budget education expenditure; expenditure share; expenditure growth; fiscal recurrent-income growth",future district-level fiscal-sustainability context,raw_file_archived_not_provincial_input,"The manually downloaded CSV contains 32 records for 16 Beijing districts in 2023 and 2025. It measures general education expenditure rather than preschool-specific expenditure and must not be aggregated into a Beijing municipal observation."
NATIONAL_2026_PRESCHOOL_DEVELOPMENT_FUND_NOTICE,Xinxing County Finance Bureau republication,"Ministry of Finance and Ministry of Education Notice on Issuing the 2026 Support for Preschool Education Development Fund Budget",national_and_provincial,2026,HTML/XLS,https://www.xinxing.gov.cn/yfxxczj/gkmlpt/content/2/2014/mpost_2014320.html,"2026 support-fund allocation; expansion-and-quality subsidy; tuition-and-care-fee reduction subsidy; regional performance objectives",official-government-republication source verification,official_government_republication_verified,"Document number Caijiao [2026] No. 68; stated document date 2026-04-10; page date 2026-05-29; attachments archived and visible content cross-validated against local supplied files. Primary central publication URL is still pending."
