region,reference_year,resident_population_age_0_14_10k_persons,age_0_14_share_pct,source_id,source_table,entry_method,verification_status,quality_flag,prai_input_eligibility
Guangdong,2015,2028.47,17.37,GUANGDONG_2025_YEARBOOK,"3-4 Age Composition and Dependency Ratio of Permanent Population",archive_excel_transcription,requires_second_review,none,not_eligible_without_preschool_age_mapping
Guangdong,2016,2051.75,17.23,GUANGDONG_2025_YEARBOOK,"3-4 Age Composition and Dependency Ratio of Permanent Population",archive_excel_transcription,requires_second_review,none,not_eligible_without_preschool_age_mapping
Guangdong,2017,2089.47,17.21,GUANGDONG_2025_YEARBOOK,"3-4 Age Composition and Dependency Ratio of Permanent Population",archive_excel_transcription,requires_second_review,none,not_eligible_without_preschool_age_mapping
Guangdong,2018,2121.39,17.18,GUANGDONG_2025_YEARBOOK,"3-4 Age Composition and Dependency Ratio of Permanent Population",archive_excel_transcription,requires_second_review,none,not_eligible_without_preschool_age_mapping
Guangdong,2019,2033.21,16.28,GUANGDONG_2025_YEARBOOK,"3-4 Age Composition and Dependency Ratio of Permanent Population",archive_excel_transcription,requires_second_review,none,not_eligible_without_preschool_age_mapping
Guangdong,2020,2374.99,18.85,GUANGDONG_2025_YEARBOOK,"3-4 Age Composition and Dependency Ratio of Permanent Population",archive_excel_transcription,requires_second_review,annual_change_review,not_eligible_without_preschool_age_mapping
Guangdong,2021,2376.00,18.73,GUANGDONG_2025_YEARBOOK,"3-4 Age Composition and Dependency Ratio of Permanent Population",archive_excel_transcription,requires_second_review,none,not_eligible_without_preschool_age_mapping
Guangdong,2022,2337.30,18.47,GUANGDONG_2025_YEARBOOK,"3-4 Age Composition and Dependency Ratio of Permanent Population",archive_excel_transcription,requires_second_review,none,not_eligible_without_preschool_age_mapping
Guangdong,2023,2284.00,17.98,GUANGDONG_2025_YEARBOOK,"3-4 Age Composition and Dependency Ratio of Permanent Population",archive_excel_transcription,requires_second_review,none,not_eligible_without_preschool_age_mapping
Guangdong,2024,2241.00,17.535211,GUANGDONG_2025_YEARBOOK,"3-4 Age Composition and Dependency Ratio of Permanent Population",archive_excel_transcription,requires_second_review,none,not_eligible_without_preschool_age_mapping
