region,reference_year,general_public_budget_revenue_100m_yuan,tax_revenue_100m_yuan,non_tax_revenue_100m_yuan,general_public_budget_expenditure_100m_yuan,source_ids,source_table,entry_method,verification_status,quality_flag,prai_input_eligibility
Shanghai,2015,5519.50,4858.16,661.34,6191.56,SHANGHAI_2025_C0401_HEADER;SHANGHAI_2025_C0401_MAIN,"4.1 General Public Budget Revenue and Expenditure (1978-2024)",archive_html_transcription,requires_second_review,none,not_eligible_without_preschool_specific_expenditure_mapping
Shanghai,2016,6406.13,5625.90,780.23,6918.94,SHANGHAI_2025_C0401_HEADER;SHANGHAI_2025_C0401_MAIN,"4.1 General Public Budget Revenue and Expenditure (1978-2024)",archive_html_transcription,requires_second_review,none,not_eligible_without_preschool_specific_expenditure_mapping
Shanghai,2017,6642.26,5865.51,776.75,7547.62,SHANGHAI_2025_C0401_HEADER;SHANGHAI_2025_C0401_MAIN,"4.1 General Public Budget Revenue and Expenditure (1978-2024)",archive_html_transcription,requires_second_review,none,not_eligible_without_preschool_specific_expenditure_mapping
Shanghai,2018,7108.15,6285.04,823.11,8351.54,SHANGHAI_2025_C0401_HEADER;SHANGHAI_2025_C0401_MAIN,"4.1 General Public Budget Revenue and Expenditure (1978-2024)",archive_html_transcription,requires_second_review,none,not_eligible_without_preschool_specific_expenditure_mapping
Shanghai,2019,7165.10,6216.29,948.81,8179.28,SHANGHAI_2025_C0401_HEADER;SHANGHAI_2025_C0401_MAIN,"4.1 General Public Budget Revenue and Expenditure (1978-2024)",archive_html_transcription,requires_second_review,none,not_eligible_without_preschool_specific_expenditure_mapping
Shanghai,2020,7046.30,5841.88,1204.42,8102.11,SHANGHAI_2025_C0401_HEADER;SHANGHAI_2025_C0401_MAIN,"4.1 General Public Budget Revenue and Expenditure (1978-2024)",archive_html_transcription,requires_second_review,none,not_eligible_without_preschool_specific_expenditure_mapping
Shanghai,2021,7771.80,6606.74,1165.06,8430.86,SHANGHAI_2025_C0401_HEADER;SHANGHAI_2025_C0401_MAIN,"4.1 General Public Budget Revenue and Expenditure (1978-2024)",archive_html_transcription,requires_second_review,none,not_eligible_without_preschool_specific_expenditure_mapping
Shanghai,2022,7608.19,6349.17,1259.02,9393.16,SHANGHAI_2025_C0401_HEADER;SHANGHAI_2025_C0401_MAIN,"4.1 General Public Budget Revenue and Expenditure (1978-2024)",archive_html_transcription,requires_second_review,none,not_eligible_without_preschool_specific_expenditure_mapping
Shanghai,2023,8312.50,7109.14,1203.36,9638.51,SHANGHAI_2025_C0401_HEADER;SHANGHAI_2025_C0401_MAIN,"4.1 General Public Budget Revenue and Expenditure (1978-2024)",archive_html_transcription,requires_second_review,none,not_eligible_without_preschool_specific_expenditure_mapping
Shanghai,2024,8374.17,7082.67,1291.50,9874.84,SHANGHAI_2025_C0401_HEADER;SHANGHAI_2025_C0401_MAIN,"4.1 General Public Budget Revenue and Expenditure (1978-2024)",archive_html_transcription,requires_second_review,none,not_eligible_without_preschool_specific_expenditure_mapping
