region,reference_year,resident_population_10k_persons,population_density_persons_per_sqm,total_households_10k,average_persons_per_household,registered_population_10k_persons,registered_male_population_10k_persons,registered_female_population_10k_persons,source_ids,source_table,entry_method,verification_status,quality_flag,prai_input_eligibility
Shanghai,2015,2457.59,3876,536.76,2.69,1442.97,716.37,726.60,SHANGHAI_2025_C0201_HEADER;SHANGHAI_2025_C0201_MAIN,"2.1 Households, Population and Population Density (1978-2024)",archive_html_transcription,requires_second_review,none,not_eligible_without_preschool_age_mapping
Shanghai,2016,2467.37,3891,541.62,2.68,1450.00,719.35,730.65,SHANGHAI_2025_C0201_HEADER;SHANGHAI_2025_C0201_MAIN,"2.1 Households, Population and Population Density (1978-2024)",archive_html_transcription,requires_second_review,none,not_eligible_without_preschool_age_mapping
Shanghai,2017,2466.28,3890,546.13,2.66,1455.13,721.29,733.84,SHANGHAI_2025_C0201_HEADER;SHANGHAI_2025_C0201_MAIN,"2.1 Households, Population and Population Density (1978-2024)",archive_html_transcription,requires_second_review,none,not_eligible_without_preschool_age_mapping
Shanghai,2018,2475.39,3904,551.95,2.65,1462.38,724.14,738.23,SHANGHAI_2025_C0201_HEADER;SHANGHAI_2025_C0201_MAIN,"2.1 Households, Population and Population Density (1978-2024)",archive_html_transcription,requires_second_review,none,not_eligible_without_preschool_age_mapping
Shanghai,2019,2481.34,3913,556.23,2.64,1469.30,726.75,742.55,SHANGHAI_2025_C0201_HEADER;SHANGHAI_2025_C0201_MAIN,"2.1 Households, Population and Population Density (1978-2024)",archive_html_transcription,requires_second_review,none,not_eligible_without_preschool_age_mapping
Shanghai,2020,2488.36,3925,560.96,2.63,1475.63,729.04,746.60,SHANGHAI_2025_C0201_HEADER;SHANGHAI_2025_C0201_MAIN,"2.1 Households, Population and Population Density (1978-2024)",archive_html_transcription,requires_second_review,population_series_method_boundary_review,not_eligible_without_preschool_age_mapping
Shanghai,2021,2489.43,3926,568.27,2.63,1492.92,737.54,755.38,SHANGHAI_2025_C0201_HEADER;SHANGHAI_2025_C0201_MAIN,"2.1 Households, Population and Population Density (1978-2024)",archive_html_transcription,requires_second_review,population_series_method_boundary_review,not_eligible_without_preschool_age_mapping
Shanghai,2022,2475.89,3905,573.05,2.62,1503.83,742.39,761.43,SHANGHAI_2025_C0201_HEADER;SHANGHAI_2025_C0201_MAIN,"2.1 Households, Population and Population Density (1978-2024)",archive_html_transcription,requires_second_review,none,not_eligible_without_preschool_age_mapping
Shanghai,2023,2487.45,3923,578.52,2.62,1516.39,746.91,769.49,SHANGHAI_2025_C0201_HEADER;SHANGHAI_2025_C0201_MAIN,"2.1 Households, Population and Population Density (1978-2024)",archive_html_transcription,requires_second_review,none,not_eligible_without_preschool_age_mapping
Shanghai,2024,2480.26,3912,583.78,2.63,1535.09,755.38,779.71,SHANGHAI_2025_C0201_HEADER;SHANGHAI_2025_C0201_MAIN,"2.1 Households, Population and Population Density (1978-2024)",archive_html_transcription,requires_second_review,none,not_eligible_without_preschool_age_mapping
