region,reference_year,kindergartens,enrolled_children,full_time_teacher_count,source_id,source_table,entry_method,verification_status,quality_flag
Sichuan,2015,12365,2481681,96885,SICHUAN_2025_C2001;SICHUAN_2025_C2002;SICHUAN_2025_C2003,"20-1 Number of Schools by Type; 20-2 Number of Full-Time Teachers of Schools by Type; 20-3 Number of Enrollments of Formal Education by Type",manual_visual_transcription,requires_second_review,none
Sichuan,2016,12901,2593131,105592,SICHUAN_2025_C2001;SICHUAN_2025_C2002;SICHUAN_2025_C2003,"20-1 Number of Schools by Type; 20-2 Number of Full-Time Teachers of Schools by Type; 20-3 Number of Enrollments of Formal Education by Type",manual_visual_transcription,requires_second_review,none
Sichuan,2017,13243,2625168,117052,SICHUAN_2025_C2001;SICHUAN_2025_C2002;SICHUAN_2025_C2003,"20-1 Number of Schools by Type; 20-2 Number of Full-Time Teachers of Schools by Type; 20-3 Number of Enrollments of Formal Education by Type",manual_visual_transcription,requires_second_review,none
Sichuan,2018,13396,2608595,122972,SICHUAN_2025_C2001;SICHUAN_2025_C2002;SICHUAN_2025_C2003,"20-1 Number of Schools by Type; 20-2 Number of Full-Time Teachers of Schools by Type; 20-3 Number of Enrollments of Formal Education by Type",manual_visual_transcription,requires_second_review,none
Sichuan,2019,13568,2644188,128724,SICHUAN_2025_C2001;SICHUAN_2025_C2002;SICHUAN_2025_C2003,"20-1 Number of Schools by Type; 20-2 Number of Full-Time Teachers of Schools by Type; 20-3 Number of Enrollments of Formal Education by Type",manual_visual_transcription,requires_second_review,none
Sichuan,2020,13757,2652303,132068,SICHUAN_2025_C2001;SICHUAN_2025_C2002;SICHUAN_2025_C2003,"20-1 Number of Schools by Type; 20-2 Number of Full-Time Teachers of Schools by Type; 20-3 Number of Enrollments of Formal Education by Type",manual_visual_transcription,requires_second_review,none
Sichuan,2021,13407,2617586,158076,SICHUAN_2025_C2001;SICHUAN_2025_C2002;SICHUAN_2025_C2003,"20-1 Number of Schools by Type; 20-2 Number of Full-Time Teachers of Schools by Type; 20-3 Number of Enrollments of Formal Education by Type",manual_visual_transcription,requires_second_review,none
Sichuan,2022,12869,2539742,164187,SICHUAN_2025_C2001;SICHUAN_2025_C2002;SICHUAN_2025_C2003,"20-1 Number of Schools by Type; 20-2 Number of Full-Time Teachers of Schools by Type; 20-3 Number of Enrollments of Formal Education by Type",manual_visual_transcription,requires_second_review,none
Sichuan,2023,12387,2315634,160865,SICHUAN_2025_C2001;SICHUAN_2025_C2002;SICHUAN_2025_C2003,"20-1 Number of Schools by Type; 20-2 Number of Full-Time Teachers of Schools by Type; 20-3 Number of Enrollments of Formal Education by Type",manual_visual_transcription,requires_second_review,annual_enrolment_change_review
Sichuan,2024,11253,2072377,151203,SICHUAN_2025_C2001;SICHUAN_2025_C2002;SICHUAN_2025_C2003,"20-1 Number of Schools by Type; 20-2 Number of Full-Time Teachers of Schools by Type; 20-3 Number of Enrollments of Formal Education by Type",manual_visual_transcription,requires_second_review,annual_kindergarten_and_enrolment_change_review
