region,reference_year,resident_population_year_end_10k_persons,urbanization_rate_pct,birth_rate_per_thousand,death_rate_per_thousand,natural_growth_rate_per_thousand,source_id,source_table,entry_method,verification_status,quality_flag,prai_input_eligibility
Sichuan,2015,8196.0,48.27,10.3,6.9,3.4,SICHUAN_2025_C0301,"3-1 Resident Population (year-end), Urbanization Rate, Birth Rate, Death Rate and Natural Growth Rate",manual_visual_transcription,requires_second_review,none,not_eligible_without_preschool_age_mapping
Sichuan,2016,8251.0,50.00,10.5,7.0,3.5,SICHUAN_2025_C0301,"3-1 Resident Population (year-end), Urbanization Rate, Birth Rate, Death Rate and Natural Growth Rate",manual_visual_transcription,requires_second_review,none,not_eligible_without_preschool_age_mapping
Sichuan,2017,8289.0,51.78,11.3,7.0,4.3,SICHUAN_2025_C0301,"3-1 Resident Population (year-end), Urbanization Rate, Birth Rate, Death Rate and Natural Growth Rate",manual_visual_transcription,requires_second_review,none,not_eligible_without_preschool_age_mapping
Sichuan,2018,8321.0,53.50,11.1,7.0,4.1,SICHUAN_2025_C0301,"3-1 Resident Population (year-end), Urbanization Rate, Birth Rate, Death Rate and Natural Growth Rate",manual_visual_transcription,requires_second_review,none,not_eligible_without_preschool_age_mapping
Sichuan,2019,8351.0,55.36,10.7,7.1,3.6,SICHUAN_2025_C0301,"3-1 Resident Population (year-end), Urbanization Rate, Birth Rate, Death Rate and Natural Growth Rate",manual_visual_transcription,requires_second_review,none,not_eligible_without_preschool_age_mapping
Sichuan,2020,8371.0,56.73,7.6,6.3,1.3,SICHUAN_2025_C0301,"3-1 Resident Population (year-end), Urbanization Rate, Birth Rate, Death Rate and Natural Growth Rate",manual_visual_transcription,requires_second_review,population_series_method_boundary_review,not_eligible_without_preschool_age_mapping
Sichuan,2021,8372.0,57.82,6.9,8.7,-1.9,SICHUAN_2025_C0301,"3-1 Resident Population (year-end), Urbanization Rate, Birth Rate, Death Rate and Natural Growth Rate",manual_visual_transcription,requires_second_review,population_series_method_boundary_review,not_eligible_without_preschool_age_mapping
Sichuan,2022,8374.0,58.35,6.4,9.0,-2.7,SICHUAN_2025_C0301,"3-1 Resident Population (year-end), Urbanization Rate, Birth Rate, Death Rate and Natural Growth Rate",manual_visual_transcription,requires_second_review,none,not_eligible_without_preschool_age_mapping
Sichuan,2023,8368.0,59.49,6.3,9.4,-3.1,SICHUAN_2025_C0301,"3-1 Resident Population (year-end), Urbanization Rate, Birth Rate, Death Rate and Natural Growth Rate",manual_visual_transcription,requires_second_review,none,not_eligible_without_preschool_age_mapping
Sichuan,2024,8364.0,60.10,6.4,9.4,-3.0,SICHUAN_2025_C0301,"3-1 Resident Population (year-end), Urbanization Rate, Birth Rate, Death Rate and Natural Growth Rate",manual_visual_transcription,requires_second_review,none,not_eligible_without_preschool_age_mapping
