city,year,resource_allocation_score
Beijing,2021,91.86
Beijing,2022,93.54
Beijing,2023,94.27
Beijing,2024,96.22
Beijing,2025,97.65
Shanghai,2021,90.64
Shanghai,2022,92.54
Shanghai,2023,93.99
Shanghai,2024,95.96
Shanghai,2025,97.26
Guangzhou,2021,70.24
Guangzhou,2022,71.9
Guangzhou,2023,72.82
Guangzhou,2024,74.31
Guangzhou,2025,75.41
Shenzhen,2021,73.9
Shenzhen,2022,76.21
Shenzhen,2023,78.15
Shenzhen,2024,80.49
Shenzhen,2025,82.22
Hangzhou,2021,72.93
Hangzhou,2022,74.91
Hangzhou,2023,76.3
Hangzhou,2024,78.54
Hangzhou,2025,79.95
Nanjing,2021,73.14
Nanjing,2022,74.43
Nanjing,2023,75.18
Nanjing,2024,76.6
Nanjing,2025,76.93
Wuhan,2021,47.48
Wuhan,2022,48.86
Wuhan,2023,50.22
Wuhan,2024,50.56
Wuhan,2025,51.44
Chengdu,2021,48.08
Chengdu,2022,50.97
Chengdu,2023,53.72
Chengdu,2024,55.8
Chengdu,2025,57.91
Zhengzhou,2021,20.63
Zhengzhou,2022,21.55
Zhengzhou,2023,22.44
Zhengzhou,2024,23.9
Zhengzhou,2025,24.81
Lanzhou,2021,6.05
Lanzhou,2022,6.48
Lanzhou,2023,6.3
Lanzhou,2024,6.92
Lanzhou,2025,6.93
