city,year,efficiency_score
Beijing,2021,1.0
Shanghai,2021,1.0
Guangzhou,2021,1.0
Shenzhen,2021,1.0
Hangzhou,2021,1.0
Nanjing,2021,1.0
Wuhan,2021,1.0
Chengdu,2021,1.0
Zhengzhou,2021,1.0
Lanzhou,2021,1.0
Beijing,2022,1.0
Shanghai,2022,1.0
Guangzhou,2022,1.0
Shenzhen,2022,1.0
Hangzhou,2022,1.0
Nanjing,2022,1.0
Wuhan,2022,1.0
Chengdu,2022,1.0
Zhengzhou,2022,1.0
Lanzhou,2022,1.0
Beijing,2023,1.0
Shanghai,2023,1.0
Guangzhou,2023,1.0
Shenzhen,2023,1.0
Hangzhou,2023,1.0
Nanjing,2023,1.0
Wuhan,2023,1.0
Chengdu,2023,1.0
Zhengzhou,2023,1.0
Lanzhou,2023,1.0
Beijing,2024,1.0
Shanghai,2024,1.0
Guangzhou,2024,1.0
Shenzhen,2024,1.0
Hangzhou,2024,1.0
Nanjing,2024,1.0
Wuhan,2024,1.0
Chengdu,2024,1.0
Zhengzhou,2024,1.0
Lanzhou,2024,1.0
Beijing,2025,1.0
Shanghai,2025,1.0
Guangzhou,2025,1.0
Shenzhen,2025,1.0
Hangzhou,2025,1.0
Nanjing,2025,1.0
Wuhan,2025,1.0
Chengdu,2025,1.0
Zhengzhou,2025,1.0
Lanzhou,2025,1.0
