city,year,future_child_population,future_teacher_demand,future_fiscal_need
Beijing,2026,208900.0,13889.37,3929409000.0
Beijing,2027,203800.0,13550.28,3833478000.0
Chengdu,2026,317700.0,21123.28,5975937000.0
Chengdu,2027,325200.0,21621.94,6117012000.0
Guangzhou,2026,365000.0,24268.17,6865650000.0
Guangzhou,2027,375000.0,24933.05,7053750000.0
Hangzhou,2026,222900.0,14820.21,4192749000.0
Hangzhou,2027,230400.0,15318.87,4333824000.0
Lanzhou,2026,95900.0,6376.21,1803879000.0
Lanzhou,2027,93400.0,6209.99,1756854000.0
Nanjing,2026,147700.0,9820.3,2778237000.0
Nanjing,2027,146400.0,9733.86,2753784000.0
Shanghai,2026,202500.0,13463.85,3809025000.0
Shanghai,2027,197200.0,13111.46,3709332000.0
Shenzhen,2026,296600.0,19720.38,5579046000.0
Shenzhen,2027,309600.0,20584.73,5823576000.0
Wuhan,2026,218700.0,14540.96,4113747000.0
Wuhan,2027,215000.0,14294.95,4044150000.0
Zhengzhou,2026,236400.0,15717.8,4446684000.0
Zhengzhou,2027,232600.0,15465.14,4375206000.0
