city,year,scenario,resource_allocation_score,fiscal_requirement_yuan,fiscal_capacity_yuan,fiscal_sustainability_ratio,teacher_demand,education_coverage_pct
Beijing,2021,Baseline,80.04,5520000000.0,6072000000.000001,1.1,17100.0,96.58
Beijing,2022,Baseline,81.49,5559600000.0,6115560000.000001,1.1,16900.0,96.52
Beijing,2023,Baseline,82.08,5544000000.0,6098400000.000001,1.1,16500.0,96.43
Beijing,2024,Baseline,83.67,5547000000.0,6101700000.000001,1.1,16300.0,96.35
Beijing,2025,Baseline,84.75,5544000000.0,6098400000.000001,1.1,16000.0,96.26
Shanghai,2021,Baseline,78.73,5287500000.0,5816250000.0,1.1,16800.0,96.51
Shanghai,2022,Baseline,80.31,5302000000.0,5832200000.0,1.1,16500.0,96.43
Shanghai,2023,Baseline,81.36,5285800000.0,5814380000.0,1.1,16100.0,96.33
Shanghai,2024,Baseline,82.98,5287700000.0,5816470000.0,1.1,15800.0,96.24
Shanghai,2025,Baseline,83.95,5283600000.0,5811960000.0,1.1,15500.0,96.15
Guangzhou,2021,Baseline,62.1,6045000000.0,6649500000.000001,1.1,20000.0,96.19
Guangzhou,2022,Baseline,63.68,6432000000.0,7075200000.000001,1.1,20700.0,96.31
Guangzhou,2023,Baseline,64.53,6831000000.0,7514100000.000001,1.1,21400.0,96.42
Guangzhou,2024,Baseline,65.93,7242000000.0,7966200000.000001,1.1,22100.0,96.52
Guangzhou,2025,Baseline,66.91,7665000000.0,8431500000.000001,1.1,22900.0,96.62
Shenzhen,2021,Baseline,65.51,4620000000.0,5082000000.0,1.1,15000.0,93.91
Shenzhen,2022,Baseline,67.64,5076000000.0,5583600000.0,1.1,16300.0,94.29
Shenzhen,2023,Baseline,69.36,5550000000.0,6105000000.000001,1.1,17700.0,94.62
Shenzhen,2024,Baseline,71.49,5928000000.0,6520800000.000001,1.1,19100.0,94.46
Shenzhen,2025,Baseline,73.01,6318000000.0,6949800000.000001,1.1,20500.0,94.33
Hangzhou,2021,Baseline,63.95,3420000000.0,3762000000.0000005,1.1,12600.0,95.14
Hangzhou,2022,Baseline,65.75,3684800000.0,4053280000.0000005,1.1,13300.0,95.34
Hangzhou,2023,Baseline,66.97,3959200000.0,4355120000.0,1.1,14000.0,95.52
Hangzhou,2024,Baseline,68.92,4222400000.0,4644640000.0,1.1,14700.0,95.67
Hangzhou,2025,Baseline,70.08,4494000000.0,4943400000.0,1.1,15300.0,95.81
Nanjing,2021,Baseline,63.71,2775000000.0,3052500000.0000005,1.1,10500.0,95.45
Nanjing,2022,Baseline,64.84,2831000000.0,3114100000.0000005,1.1,10400.0,95.42
Nanjing,2023,Baseline,65.44,2886000000.0,3174600000.0000005,1.1,10300.0,95.39
Nanjing,2024,Baseline,66.68,2920000000.0,3212000000.0000005,1.1,10200.0,95.33
Nanjing,2025,Baseline,66.99,2972500000.0,3269750000.0000005,1.1,10100.0,95.3
Wuhan,2021,Baseline,41.38,3335000000.0,3668500000.0000005,1.1,14500.0,93.28
Wuhan,2022,Baseline,42.43,3352500000.0,3687750000.0000005,1.1,14200.0,93.13
Wuhan,2023,Baseline,43.63,3381300000.0,3719430000.0000005,1.1,13900.0,93.01
Wuhan,2024,Baseline,43.93,3422600000.0,3764860000.0000005,1.1,13600.0,92.92
Wuhan,2025,Baseline,44.77,3461500000.0,3807650000.0000005,1.1,13300.0,92.83
Chengdu,2021,Baseline,42.02,3834000000.0,4217400000.0000005,1.1,17300.0,92.86
Chengdu,2022,Baseline,44.64,4058800000.0,4464680000.0,1.1,18000.0,93.06
Chengdu,2023,Baseline,47.0,4275000000.0,4702500000.0,1.1,18700.0,93.22
Chengdu,2024,Baseline,48.82,4512200000.0,4963420000.0,1.1,19400.0,93.4
Chengdu,2025,Baseline,50.44,4740000000.0,5214000000.0,1.1,20100.0,93.55
Zhengzhou,2021,Baseline,17.87,3000000000.0,3300000000.0000005,1.1,13700.0,88.63
Zhengzhou,2022,Baseline,18.74,3057300000.0,3363030000.0000005,1.1,13500.0,88.49
Zhengzhou,2023,Baseline,19.45,3098900000.0,3408790000.0000005,1.1,13300.0,88.31
Zhengzhou,2024,Baseline,20.7,3137300000.0,3451030000.0000005,1.1,13100.0,88.11
Zhengzhou,2025,Baseline,21.42,3172500000.0,3489750000.0000005,1.1,12900.0,87.92
Lanzhou,2021,Baseline,5.29,1120000000.0,1232000000.0,1.1,5300.0,86.11
Lanzhou,2022,Baseline,5.67,1136800000.0,1250480000.0,1.1,5100.0,85.85
Lanzhou,2023,Baseline,5.47,1152000000.0,1267200000.0,1.1,4900.0,85.58
Lanzhou,2024,Baseline,6.05,1153200000.0,1268520000.0,1.1,4700.0,85.15
Lanzhou,2025,Baseline,6.03,1152000000.0,1267200000.0,1.1,4500.0,84.69
Beijing,2021,Increase Subsidy,81.68,6072000000.000001,6072000000.000001,1.0,17100.0,96.58
Beijing,2022,Increase Subsidy,83.18,6115560000.000001,6115560000.000001,1.0,16900.0,96.52
Beijing,2023,Increase Subsidy,83.81,6098400000.000001,6098400000.000001,1.0,16500.0,96.43
Beijing,2024,Increase Subsidy,85.44,6101700000.000001,6101700000.000001,1.0,16300.0,96.35
Beijing,2025,Increase Subsidy,86.56,6098400000.000001,6098400000.000001,1.0,16000.0,96.26
Shanghai,2021,Increase Subsidy,80.35,5816250000.000001,5816250000.0,1.0,16800.0,96.51
Shanghai,2022,Increase Subsidy,81.97,5832200000.000001,5832200000.0,1.0,16500.0,96.43
Shanghai,2023,Increase Subsidy,83.06,5814380000.000001,5814380000.0,1.0,16100.0,96.33
Shanghai,2024,Increase Subsidy,84.72,5816470000.000001,5816470000.0,1.0,15800.0,96.24
Shanghai,2025,Increase Subsidy,85.73,5811960000.000001,5811960000.0,1.0,15500.0,96.15
Guangzhou,2021,Increase Subsidy,63.44,6649500000.0,6649500000.000001,1.0,20000.0,96.19
Guangzhou,2022,Increase Subsidy,65.07,7075200000.0,7075200000.000001,1.0,20700.0,96.31
Guangzhou,2023,Increase Subsidy,65.95,7514100000.000001,7514100000.000001,1.0,21400.0,96.42
Guangzhou,2024,Increase Subsidy,67.39,7966200000.000001,7966200000.000001,1.0,22100.0,96.52
Guangzhou,2025,Increase Subsidy,68.41,8431500000.000001,8431500000.000001,1.0,22900.0,96.62
Shenzhen,2021,Increase Subsidy,66.95,5082000000.000001,5082000000.0,1.0,15000.0,93.91
Shenzhen,2022,Increase Subsidy,69.13,5583600000.000001,5583600000.0,1.0,16300.0,94.29
Shenzhen,2023,Increase Subsidy,70.89,6105000000.000001,6105000000.000001,1.0,17700.0,94.62
Shenzhen,2024,Increase Subsidy,73.06,6520800000.000001,6520800000.000001,1.0,19100.0,94.46
Shenzhen,2025,Increase Subsidy,74.62,6949800000.000001,6949800000.000001,1.0,20500.0,94.33
Hangzhou,2021,Increase Subsidy,65.25,3762000000.0,3762000000.0000005,1.0,12600.0,95.14
Hangzhou,2022,Increase Subsidy,67.1,4053280000.0,4053280000.0000005,1.0,13300.0,95.34
Hangzhou,2023,Increase Subsidy,68.36,4355120000.0,4355120000.0,1.0,14000.0,95.52
Hangzhou,2024,Increase Subsidy,70.35,4644640000.000001,4644640000.0,1.0,14700.0,95.67
Hangzhou,2025,Increase Subsidy,71.55,4943400000.000001,4943400000.0,1.0,15300.0,95.81
Nanjing,2021,Increase Subsidy,64.98,3052500000.0,3052500000.0000005,1.0,10500.0,95.45
Nanjing,2022,Increase Subsidy,66.15,3114100000.0,3114100000.0000005,1.0,10400.0,95.42
Nanjing,2023,Increase Subsidy,66.78,3174600000.0,3174600000.0000005,1.0,10300.0,95.39
Nanjing,2024,Increase Subsidy,68.05,3212000000.0,3212000000.0000005,1.0,10200.0,95.33
Nanjing,2025,Increase Subsidy,68.4,3269750000.0000005,3269750000.0000005,1.0,10100.0,95.3
Wuhan,2021,Increase Subsidy,42.37,3668500000.0000005,3668500000.0000005,1.0,14500.0,93.28
Wuhan,2022,Increase Subsidy,43.46,3687750000.0,3687750000.0000005,1.0,14200.0,93.13
Wuhan,2023,Increase Subsidy,44.68,3719430000.0,3719430000.0000005,1.0,13900.0,93.01
Wuhan,2024,Increase Subsidy,45.01,3764860000.0,3764860000.0000005,1.0,13600.0,92.92
Wuhan,2025,Increase Subsidy,45.88,3807650000.0,3807650000.0000005,1.0,13300.0,92.83
Chengdu,2021,Increase Subsidy,43.0,4217400000.0000005,4217400000.0000005,1.0,17300.0,92.86
Chengdu,2022,Increase Subsidy,45.64,4464680000.000001,4464680000.0,1.0,18000.0,93.06
Chengdu,2023,Increase Subsidy,48.03,4702500000.0,4702500000.0,1.0,18700.0,93.22
Chengdu,2024,Increase Subsidy,49.88,4963420000.0,4963420000.0,1.0,19400.0,93.4
Chengdu,2025,Increase Subsidy,51.52,5214000000.0,5214000000.0,1.0,20100.0,93.55
Zhengzhou,2021,Increase Subsidy,18.73,3300000000.0000005,3300000000.0000005,1.0,13700.0,88.63
Zhengzhou,2022,Increase Subsidy,19.63,3363030000.0000005,3363030000.0000005,1.0,13500.0,88.49
Zhengzhou,2023,Increase Subsidy,20.36,3408790000.0000005,3408790000.0000005,1.0,13300.0,88.31
Zhengzhou,2024,Increase Subsidy,21.64,3451030000.0000005,3451030000.0000005,1.0,13100.0,88.11
Zhengzhou,2025,Increase Subsidy,22.39,3489750000.0000005,3489750000.0000005,1.0,12900.0,87.92
Lanzhou,2021,Increase Subsidy,6.06,1232000000.0000002,1232000000.0,1.0,5300.0,86.11
Lanzhou,2022,Increase Subsidy,6.47,1250480000.0000002,1250480000.0,1.0,5100.0,85.85
Lanzhou,2023,Increase Subsidy,6.3,1267200000.0000002,1267200000.0,1.0,4900.0,85.58
